net,length_um
_097_,172.34
clknet_0_clk,145.34
_122_,143.61
_165_,140.24
_133_,135.895
_201_,129.72
_099_,126.82
_204_,117.12
_154_,114.525
_205_,113.68
_199_,112.96
_098_,110.75
_203_,108.21
net26,107.96
clknet_3_7__leaf_clk,103.12
net25,99.205
clknet_3_2__leaf_clk,93.44
_202_,92.455
_200_,89.42
net13,87.84
net24,86.72
net23,79.58
clknet_3_0__leaf_clk,78.3
net2,76.94
net22,76.66
clknet_3_5__leaf_clk,74.86
net21,66.52
net27,65.86
clknet_3_4__leaf_clk,65.18
clknet_3_1__leaf_clk,60.42
net28,60
clknet_3_3__leaf_clk,56.98
net20,54.72
clknet_3_6__leaf_clk,53.82
net29,53.56
net11,53.42
net4,50.7
net5,50.165
net12,49.74
clk,47.91
net10,47.44
net30,40.18
net19,37.56
net18,37.26
net31,31.76
net6,29.46
net14,28.52
net3,28.36
genblk1\[4\].csa.y,26.76
net17,25.98
net9,25.3
_108_,24.78
net33,22.055
_172_,21.5
_124_,21.44
_149_,21.38
genblk1\[24\].csa.y,18.94
genblk1\[19\].csa.y,18.58
csa0.y,18.22
genblk1\[14\].csa.y,18.12
genblk1\[6\].csa.y,17.72
genblk1\[14\].csa.hsum2,17.68
_176_,17.28
net16,16.98
_106_,16.78
_117_,16.7
_184_,16.62
_105_,16.54
net7,16.2
_187_,16.14
genblk1\[7\].csa.y,16.06
_188_,15.82
x[27],15.02
x[28],15
genblk1\[20\].csa.y,14.94
genblk1\[21\].csa.y,14.9
_162_,14.88
_166_,14.74
genblk1\[15\].csa.y,14.6
genblk1\[17\].csa.y,14.34
genblk1\[6\].csa.hsum2,14.2
_114_,13.98
genblk1\[29\].csa.y,13.96
_175_,13.88
_130_,13.825
genblk1\[23\].csa.y,13.76
genblk1\[5\].csa.y,13.68
genblk1\[10\].csa.hsum2,13.66
x[21],13.64
net32,13.48
_100_,13.46
genblk1\[25\].csa.y,13.4
genblk1\[3\].csa.sc,13.12
genblk1\[12\].csa.hsum2,13.08
genblk1\[30\].csa.y,13.06
_156_,13.04
genblk1\[8\].csa.hsum2,12.93
_152_,12.88
_159_,12.72
x[8],12.72
_173_,12.68
genblk1\[3\].csa.y,12.66
_127_,12.5
_178_,12.46
genblk1\[16\].csa.y,12.46
genblk1\[19\].csa.hsum2,12.46
genblk1\[10\].csa.y,12.42
genblk1\[27\].csa.y,12.42
_137_,12.4
x[29],12.26
x[3],12.26
genblk1\[24\].csa.sc,11.88
x[13],11.8
x[22],11.8
_021_,11.72
net15,11.72
_190_,11.52
_109_,11.36
x[10],11.34
x[11],11.34
x[14],11.34
x[30],11.34
x[4],11.34
x[6],11.34
x[7],11.34
x[9],11.34
_140_,11.2
genblk1\[2\].csa.y,11.08
genblk1\[5\].csa.sc,11.04
genblk1\[8\].csa.y,10.96
_150_,10.9
x[31],10.88
genblk1\[1\].csa.y,10.66
_032_,10.54
x[0],10.42
