net,length_um
_02_,89
_01_,81.46
_00_,76.58
net4,69.41
_03_,67.12
net1,65.56
net2,58.655
net3,57.335
_12_,45.18
net19,35.96
net7,34.12
net13,33
_10_,32.3
net10,32.2
_05_,23.6
net6,23.44
_11_,22.04
out[13],21.48
out[14],19.67
_14_,18.52
out[15],14.81
out[6],14.42
out[5],13.62
in[1],13.32
out[1],11.72
in[2],11.56
in[3],11.14
net18,11.02
net17,10.44
net5,10.1
net20,9.92
net9,9.88
out[0],9.61
out[12],9.42
_04_,8.9
net15,8.6
out[8],8.41
out[2],8.35
out[10],8.25
_09_,7.9
net14,7.56
net11,7.32
_06_,6.94
net8,6.88
_13_,5.68
out[11],4.95
out[9],4.61
out[7],4.39
_08_,4.34
in[0],3.93
out[3],3.93
out[4],3.93
net12,3.76
_07_,2.62
net16,1.26
